,Negotiation,Equality,Communal Sharing,Spatial Distance,Endurance,Synchronicity,Activity Intensity,Importance for society,Activeness,Uniqueness,Goods Exchange,Attachment,Love Expression,Socioemotional,Occupational,Mating,Information Exchange,Conflict,Valence Evaluation,Coercion,Affiliation/Coalition,Service Exchange,Visibility,Strategic,Formality and Regulation,Concreteness,Expected Reciprocity,Importance for individuals involved,Intimacy,Money Exchange
Between step-siblings,47.95,86.28571429,81.52631579,71.41666667,89.92307692,70.31578947,75.55555556,40.07142857,81.70588235,87.63157895,17.63157895,69.09090909,68.91666667,77.14285714,10.52631579,13.26315789,77.33333333,33.5,54.61111111,17.30769231,71.23529412,5.066666667,37.46153846,23.64285714,8.571428571,24.72727273,77.47058824,85,18.55555556,11.61538462
Between distant relatives,36.47058824,78,76.5,8.285714286,68.5,30.5,40,41.42857143,26.07142857,51.5,10.68181818,47.78947368,52.55,80.25,10.9,17.92857143,22.52941176,28.05555556,72.66666667,9.631578947,58.95,24.78947368,36.11764706,14.2,24.47368421,25.31578947,47.77777778,37.52941176,7.894736842,16
Between close relatives,59.07692308,61.73333333,91.42857143,71.61904762,95.83333333,67.29411765,83.73333333,48.94444444,86.76923077,87.6,29.5,82.625,88.5,90.6,10.3125,25.07692308,71,31.22222222,82.92857143,31,87.47368421,11.85714286,38.0625,14.75,14.75,25.14285714,72.2,92.07142857,62.66666667,20.15384615
Between twins,34.82352941,88.29411765,90.06666667,78.41176471,99.58823529,95.36363636,94,42.5625,79.26666667,87.55,29.33333333,98,93.42857143,84.66666667,1.4,15.78571429,58.15384615,33.3125,78.86956522,18.6875,85.46153846,14.57894737,32.7,16.05882353,16.625,13.53333333,76.17647059,88.12,51.5625,7.625
Between a person and their family friends,69.66666667,86.26315789,88.46153846,72.47058824,92.44444444,61.76470588,86,53.93333333,80.4,75.5,30.1875,86.94736842,93.27777778,71.09090909,3.3,27.44444444,73.8125,27.61111111,84.58823529,17.83333333,80.38461538,25.4,58.73333333,16.16666667,6,33.85,68.33333333,75.9375,58.38888889,25.52380952
Between a person and their deceased spouse,5.823529412,78.1,82.44444444,12.04166667,94.85714286,22.9047619,67.5625,28.28571429,20.93333333,84.07692308,6,79,93.3,91.29411765,1.529411765,51,13.5,12.11764706,66.71428571,8.692307692,72.41176471,6.4375,9.666666667,2.833333333,9.631578947,12.27777778,2.4,91.78947368,62.16666667,7.928571429
Manager - Staff,54.20833333,11.31818182,22.3125,74.625,38.6,77,62.6875,64.0625,76.38461538,49.38888889,21.70588235,36.05882353,16.57894737,10.66666667,97.59090909,0.642857143,87.90909091,49.73913043,75.21052632,40.6,78.22222222,78.75,82.29411765,80.625,87.73333333,74.29411765,68.88235294,69.30769231,6.2,62.9047619
Foreman -  Laborer,37,10.84615385,9.55,70.34782609,40.55555556,68.68421053,53.76923077,65.5,63.04166667,49.57142857,60.13333333,36.13636364,15.52173913,6.791666667,96.52631579,0.818181818,83.64285714,53.90909091,71.46666667,43.58823529,62.0625,86.11538462,79.94444444,88.47826087,85.38461538,85.38888889,53.94736842,50.45454545,4.933333333,79.38095238
Owner - Manager,56.57142857,13.66666667,16.6,66.38461538,50.0625,71.8125,51.93333333,56.86666667,75.33333333,50.88235294,39.625,43.09090909,23.94736842,10.17647059,93.21428571,3.5,84,43.05882353,58.85714286,51.5625,75,82.1875,76.35714286,83.9047619,92.88235294,78.54545455,43.75,59.11111111,12.6,91.1875
Union leader - union member,66.72727273,14.45,23.92857143,59.38095238,56.16666667,74.46153846,35,80.6,61.77777778,38.84615385,26.25,28.8,14.76470588,3.642857143,96.5,1.083333333,72.95238095,29.76470588,81.29411765,30.16666667,77.47058824,73.25,80.63636364,78.09090909,89.625,74.18181818,67.81818182,59.9,6.5,77.53846154
